,start_anomaly,anomaly sample length,prob_anomaly,lat,lon
470,0,,0.0,25.930355,-80.311226
471,2022-01-11 00:00:00,25.0,0.95,25.930319,-80.31223
472,0,,0.0,25.930325,-80.312195
473,0,,0.0,25.93033,-80.312164
474,0,,0.0,25.930334,-80.31213
475,2022-10-26 00:00:00,4.0,0.95,25.93034,-80.312096
476,0,,0.0,25.930346,-80.312065
477,0,,0.0,25.930351,-80.312035
478,0,,0.0,25.930357,-80.312004
479,0,,0.0,25.93036,-80.311966
480,0,,0.0,25.930367,-80.311935
481,0,,0.0,25.930372,-80.3119
482,0,,0.0,25.930378,-80.31187
483,0,,0.0,25.930384,-80.31183
484,0,,0.0,25.93039,-80.3118
485,0,,0.0,25.930395,-80.31176
486,0,,0.0,25.9304,-80.31173
487,0,,0.0,25.930407,-80.31169
488,0,,0.0,25.930412,-80.31166
489,0,,0.0,25.930418,-80.31162
490,0,,0.0,25.930424,-80.31159
491,2020-02-27 00:00:00,20.0,0.95,25.93043,-80.311554
492,2020-07-08 00:00:00,6.0,0.95,25.930435,-80.31152
493,2020-06-26 00:00:00,19.0,0.95,25.93044,-80.311485
494,2021-03-29 00:00:00,16.0,0.95,25.930445,-80.311455
495,0,,0.0,25.93045,-80.31142
496,2021-01-04 00:00:00,14.0,0.95,25.930456,-80.311386
497,0,,0.0,25.930462,-80.31135
498,0,,0.0,25.930468,-80.31132
499,0,,0.0,25.930473,-80.31129
