,TS,start_anomaly,window length,prob_anomaly,lat,lon,anomaly sample length
0,"date
2015-09-21   -0.155274
2015-10-15    0.054893
2016-04-12    0.422640
2016-07-05   -0.411460
2016-09-27   -0.753656
                ...   
2023-07-29    0.694867
2023-08-10   -0.939332
2023-08-22    1.001785
2023-09-03    0.471156
2023-09-15   -2.131301
Name: values_750_3500, Length: 193, dtype: float32",0,0.0,0.0,25.928337,-80.31182,
1,"date
2015-09-21   -0.403938
2015-10-15    0.209955
2016-04-12    0.120462
2016-07-05   -0.263813
2016-09-27   -0.822033
                ...   
2023-07-29    0.306643
2023-08-10   -0.495005
2023-08-22    0.742974
2023-09-03    0.014603
2023-09-15    2.717262
Name: values_750_3501, Length: 193, dtype: float32",0,0.0,0.0,25.928343,-80.31178,
2,"date
2015-09-21   -0.331692
2015-10-15    0.173443
2016-04-12   -0.251657
2016-07-05    0.101558
2016-09-27   -1.076878
                ...   
2023-07-29    0.317504
2023-08-10   -0.035475
2023-08-22    0.894221
2023-09-03    1.014053
2023-09-15    1.426335
Name: values_750_3502, Length: 193, dtype: float32",0,0.0,0.0,25.928349,-80.31175,
3,"[array([-2.04254866e-01,  4.11668420e-02, -2.70388365e-01,  3.76190603e-01,
       -1.25940108e+00,  5.08193076e-02, -2.44429767e-01, -5.38510084e-02,
       -2.26148888e-01, -6.77110255e-02,  4.76951599e-02, -2.84003258e-01,
       -1.15712360e-02, -4.49090660e-01, -1.11735858e-01, -1.36249036e-01,
       -6.30538464e-02, -2.39649057e-01, -4.19204831e-02, -7.18550384e-03,
       -3.04282248e-01, -3.53187621e-01, -8.16553831e-03,  2.16263890e-01,
       -3.33254158e-01, -3.43201160e-02, -7.69114017e-01, -6.19281828e-02,
       -1.29637986e-01, -7.44497955e-01, -3.85457277e-03,  1.37603909e-01,
        1.43688485e-01,  3.24375927e-01,  1.65519327e-01,  2.58653343e-01,
       -1.84570178e-01,  1.82661474e-01,  1.44171715e-02,  4.89481866e-01,
        3.27964962e-01,  1.89889759e-01,  4.41628695e-03,  9.37568247e-02,
        1.49332583e-01,  4.15967703e-01, -1.16935909e-01,  3.60794574e-01,
        9.98729914e-02,  2.89252400e-03,  1.22770220e-02, -3.13737392e-02,
       -1.79274350e-01, -5.99363893e-02, -2.02084988e-01, -2.43281275e-01,
        3.32940668e-01,  5.42461872e-04,  1.77530423e-02,  3.75975221e-01,
        3.10375273e-01,  1.90983534e-01,  2.62055457e-01,  5.21449447e-02,
       -1.94739297e-01, -1.91196620e-01,  1.64631307e-02,  1.09008598e+00,
        3.37443054e-01, -3.54832321e-01, -1.64632797e-02,  3.10268641e-01,
       -3.25562358e-01,  2.14447796e-01,  4.58680272e-01,  2.45612547e-01,
       -3.09245229e-01, -1.41885459e-01, -5.90736605e-02,  3.00474584e-01,
       -3.96535397e-02, -9.73926485e-03,  3.84644032e-01,  5.37337065e-02,
        8.15279484e-02,  3.10407937e-01, -1.37508750e-01, -1.32310033e-01,
        2.86324203e-01,  5.54453552e-01,  5.17564416e-01,  2.30199322e-01,
        1.79152191e-01,  2.84238726e-01,  3.13146472e-01, -2.50326991e-01,
       -1.09104171e-01,  1.35726005e-01,  2.18223929e-02,  1.57444537e-01,
       -4.34221983e-01, -1.33155495e-01,  6.52253985e-01, -8.83704871e-02,
        1.28303647e-01,  4.06408310e-02,  6.45144880e-01, -2.31705323e-01,
        1.95190132e-01, -1.10613108e-02,  2.79401541e-02,  2.12906986e-01,
       -8.05482090e-01,  4.77867246e-01,  2.35384792e-01, -1.88244879e-02,
        2.10231304e-01,  3.15495640e-01,  2.86371112e-02, -1.21085718e-03,
       -2.80560255e-02,  2.54738599e-01,  2.74371743e-01,  3.73726755e-01,
        5.17080426e-02,  9.79229808e-02, -2.51923680e-01,  5.57776332e-01,
       -4.11554933e-01,  3.98093581e-01, -2.45834336e-01,  1.00279517e-01,
       -1.31378144e-01,  5.89571595e-02,  6.73988163e-02, -2.87726671e-01,
        1.19219780e-01,  1.30356520e-01, -1.34335876e-01, -1.20915174e-02,
       -5.73037446e-01,  1.18526697e-01,  2.18634367e-01,  4.82745469e-03,
       -4.65890527e-01,  1.57255866e-02,  3.03284734e-01, -7.58790374e-01,
       -3.34632754e-01, -2.74662614e-01, -3.44554424e-01, -4.50391978e-01,
       -1.05150998e-01, -2.65887737e-01,  4.22980070e-01,  1.16133258e-01,
        4.41727102e-01, -3.22389960e-01, -2.78648615e-01, -1.98140949e-01,
       -1.48266435e-01, -1.30856454e-01, -9.55947191e-02, -9.69429091e-02,
       -2.91947663e-01,  3.77162322e-02, -6.63374066e-01, -1.72241569e-01,
       -3.32435668e-01,  1.24349058e-01,  1.92152962e-01,  2.65617371e-02,
       -2.96968699e-01,  3.63503814e-01,  4.20078099e-01,  2.00613403e+00,
       -3.36940670e+00, -1.69498086e+00,  5.68189979e-01, -1.02211213e+00,
        1.33997893e+00, -6.15855277e-01,  1.17209643e-01, -3.95464718e-01,
        1.32091343e-01, -1.92952585e+00,  3.31849642e-02, -7.27130294e-01,
        8.37451577e-01,  3.18190098e-01,  9.64320183e-01,  1.12388051e+00,
        1.25049949e+00], dtype=float32)]",2022-11-19 00:00:00,,0.9,25.928354,-80.311714,2.0
4,"[array([-0.1002878 ,  0.22842789, -0.5107147 , -0.02871782, -0.76557237,
       -0.939802  , -0.78087944,  0.6941303 , -0.01061876,  0.37224287,
       -0.0614326 , -0.2835436 , -0.16858153, -0.43338323, -0.03544781,
       -0.42664206, -0.30680013,  0.52068555,  0.3889624 ,  0.7440321 ,
        1.1290247 , -0.23816398, -0.02647689, -0.74963635, -0.6183738 ,
       -0.11518645,  0.3482983 ,  0.17142731, -0.40114057, -0.5780871 ,
       -0.18445903,  0.24912116,  0.26605526, -0.06249956,  0.2646379 ,
       -0.02533758, -0.4943205 , -0.20024872, -0.4048944 ,  0.18978894,
       -0.14439653, -0.2148081 , -0.35667175, -0.480462  , -0.06394738,
       -0.56824064,  1.3603768 ,  0.51802266, -0.05833416, -0.79578096,
       -0.5161332 , -0.42088443, -0.35229993, -0.38966298, -0.20470813,
        0.76806074,  0.01763651, -1.7841098 , -0.43007445,  0.10113695,
        0.6762482 ,  0.7268555 ,  0.58968353, -0.04506844,  0.20126587,
       -0.4502637 , -0.20920148,  0.6538863 ,  0.3197591 , -0.02926101,
        0.70654184,  0.46965086, -0.47785997, -0.71496624,  0.33245265,
       -0.16925114, -0.42874563, -0.6681388 ,  0.04811623,  0.04761416,
        1.1289719 , -0.33294418, -0.9634964 ,  0.6956188 ,  0.19973207,
        0.34976166,  0.14053333,  0.1505186 , -0.5752631 , -0.23304012,
        0.6027681 ,  0.26473156,  0.21637143,  0.62035024,  0.22824322,
       -0.5570668 ,  0.12814744,  0.4668976 , -0.5012833 , -0.26883444,
       -0.33813953, -0.25476617,  0.16937566,  0.15379259,  0.48161012,
        0.7479811 ,  0.75597775, -0.35468978,  0.02389678,  0.87250614,
        0.2026923 ,  0.5316595 ,  1.4056494 , -0.30896294,  0.0826565 ,
        1.0204723 ,  1.7413304 ,  0.2852399 ,  0.08357266,  1.0394673 ,
       -0.01368558,  0.31583166,  0.39712793,  0.29501134,  0.31359234,
       -0.33344436,  0.6307798 ,  0.39724457,  0.15181112,  0.70082355,
       -0.45408243,  0.5035373 , -0.45100725,  0.07551968, -0.29952675,
       -0.86029625, -0.44821155,  0.5526835 , -0.50661254, -0.5846025 ,
       -0.5677214 ,  0.2516855 ,  1.103183  ,  0.08189344, -0.7771067 ,
       -0.31340465, -0.12315252,  1.1777333 , -0.6704083 , -0.13799694,
       -0.780978  , -0.09837241, -0.25824523, -0.03925079, -0.09371489,
        1.3525903 ,  1.0302792 ,  1.6761639 ,  0.3702836 , -0.5657101 ,
        0.01244664, -0.4717291 , -0.26015222, -0.08918315, -0.32667264,
       -0.13428128,  0.03684902, -0.94937474,  1.5559646 , -0.5981675 ,
        0.23234706,  0.03558874, -0.11439985, -0.51500136, -0.16624755,
        3.0761425 , -3.7015562 , -2.2664454 , -0.24305283,  0.4188497 ,
       -0.13893536, -0.5107397 , -0.10335624, -0.296067  , -0.12018913,
       -3.063159  , -0.8742499 , -0.5250425 , -0.42353868, -0.39595687,
        1.8503942 , -0.44863752,  2.235651  ], dtype=float32)]",2022-08-27 00:00:00,,0.9,25.92836,-80.31168,7.0
5,"[array([-0.5890912 ,  0.24802285, -0.42152953,  0.20902318, -0.8611497 ,
       -0.1783843 , -0.43309924,  0.08343971, -0.53442496, -0.3522506 ,
       -0.12180114, -0.2821104 ,  0.13228637, -0.45263004, -0.18120229,
       -0.17438088, -0.16789925, -0.23413384, -0.08811539,  0.01391471,
       -0.01920217, -0.3279498 , -0.03108558,  0.21150738, -0.34960914,
       -0.07371771, -0.43017483, -0.1212118 , -0.13534614, -0.8142662 ,
       -0.24807513,  0.19217506, -0.2260286 ,  0.07657519,  0.641791  ,
        0.33109754,  0.40500626,  0.00530857, -0.07459712,  0.11647904,
        0.1656126 ,  0.09770909, -0.09793293,  0.02449152,  0.11635554,
        0.38395715, -0.13025665,  0.3191522 ,  0.06901161, -0.2346466 ,
       -0.23687561,  0.02092069, -0.12632976, -0.06540167, -0.24071553,
       -0.33718887,  0.2287117 , -0.37812734, -0.09013847,  0.10109814,
        0.05892836,  0.42663524,  0.395229  , -0.061984  , -0.18105732,
       -0.5250407 , -0.10020769,  1.1333187 ,  0.19990785, -0.42884636,
        1.4969473 ,  0.10143119, -0.4848044 , -0.02500474,  0.6329689 ,
        0.25567326, -0.24599183, -0.22998321,  0.11094834,  0.31615055,
       -0.0077107 ,  0.01374094, -0.05050051,  0.16665745,  0.14123261,
        0.39424717,  0.15555727,  0.00443512,  0.1086266 ,  0.38691348,
        0.49944693,  0.23425479,  0.23767106,  0.48726216,  0.43935513,
       -0.2535714 , -0.11886814,  0.21825542, -0.00965422, -0.04939735,
       -0.47467995, -0.20368245,  0.5078131 , -0.11438346,  0.09462428,
        0.10617191,  0.7057125 , -0.2818933 ,  0.04567346,  0.20559001,
        0.05876121,  0.1626654 , -0.84319645,  0.38826346,  0.05719429,
        0.07127883,  0.12929314,  0.21657288, -0.05147165,  0.0219809 ,
       -0.07360721,  0.29644185,  0.283037  ,  0.24971929,  0.09808391,
        0.09417892,  0.0394417 ,  0.62517035, -0.31286782,  0.44607943,
       -0.2398463 ,  0.12139312, -0.19446304,  0.37012905,  0.11433755,
       -0.29101023,  0.09140933,  0.2981008 , -0.13709116,  0.15301017,
       -0.5717477 ,  0.18229961,  0.37667334,  0.18552501, -0.45891696,
       -0.05980023,  0.17471233,  1.3429173 , -0.40492088, -0.04072925,
       -0.5154723 , -1.004279  ,  0.24786681, -0.5559271 ,  0.48319232,
       -0.45398116,  1.5956466 , -0.16931117, -0.2799827 , -0.09944552,
       -0.01203543, -0.15274748, -0.1397749 , -0.0374468 , -0.22589217,
        0.1908735 , -0.5601544 , -0.6013948 ,  0.08969909, -0.20133662,
        0.27180478, -0.20226908, -0.04695582,  0.3646387 ,  0.21813452,
        1.5728111 , -2.9870374 , -2.180669  ,  1.1269172 , -1.689056  ,
        1.1705052 , -1.1925814 ,  0.62946177, -0.27156878,  0.83875394,
       -2.4031847 ,  0.06865898, -0.61358744,  0.7176858 ,  0.20315754,
        1.1993775 ,  0.7413875 ,  1.1298325 ], dtype=float32)]",2022-11-07 00:00:00,,0.9,25.928366,-80.311646,3.0
6,"date
2015-09-21   -0.301018
2015-10-15    0.064624
2016-04-12    0.287131
2016-07-05    0.080547
2016-09-27   -0.750334
                ...   
2023-07-29    0.219097
2023-08-10   -1.120179
2023-08-22    1.028751
2023-09-03    0.242566
2023-09-15    2.272293
Name: values_750_3506, Length: 193, dtype: float32",0,0.0,0.0,25.928371,-80.311615,
7,"date
2015-09-21   -0.320754
2015-10-15    0.105524
2016-04-12    0.129741
2016-07-05    0.013102
2016-09-27   -0.942585
                ...   
2023-07-29    0.407601
2023-08-10   -1.091782
2023-08-22    0.750668
2023-09-03    0.443170
2023-09-15    1.213914
Name: values_750_3507, Length: 193, dtype: float32",0,0.0,0.0,25.928377,-80.31158,
8,"date
2015-09-21   -0.285816
2015-10-15    0.006745
2016-04-12    0.262598
2016-07-05    0.101891
2016-09-27   -0.913593
                ...   
2023-07-29    0.398203
2023-08-10   -0.898783
2023-08-22    0.564248
2023-09-03    0.520038
2023-09-15    1.175874
Name: values_750_3508, Length: 193, dtype: float32",0,0.0,0.0,25.928383,-80.31155,
9,"date
2015-09-21   -0.247731
2015-10-15   -0.104765
2016-04-12    0.219884
2016-07-05    0.198321
2016-09-27   -0.930998
                ...   
2023-07-29    0.657768
2023-08-10   -1.421872
2023-08-22    1.127237
2023-09-03   -2.975990
2023-09-15    1.873413
Name: values_750_3509, Length: 193, dtype: float32",0,0.0,0.0,25.928389,-80.31151,
